날짜,종합 위험 점수,코스피 종가,원/달러 환율,개인 수급 (억원),외국인 수급 (억원),기관 수급 (억원),외환 스왑포인트 (달러 유동성 부족 위험),풋옵션 미결제약정 (시장 하락에 베팅한 대기자금),공매도 거래 비중 (주가를 떨어뜨리려는 매도세),ELS 낙인 위험 (대규모 원금손실 구간 진입 여부),공포지수 비대칭도 (투자자들의 불안 심리 강도),합성선물 가격 차이 (외국인의 파생상품 하방 압력),야간 역외환율 변동 (원/달러 환율 급등 위험),선물 순매도 규모 (선물 지수 하락 압박 세기),비차익 프로그램 매도 비중 (컴퓨터 자동 매도량),외국계 증권사 매도세 (외국인 투자자 이탈 속도),주식 공매도 잔고 (공매도 세력이 아직 갚지 않은 주식수),풋옵션 매수 강도 (단기 주가 하락 대비 베팅 규모),주식 현물 순매도 규모 (주식을 파는 투자자 자금 규모),KOSPI 5일 낙폭 모멘텀 (지수 폭락 감지용 직접 지표),Collected_At,Multiplier,ExtremeSignalCount,SubScore_FX_Swap_Point,SubScore_Put_OTM_OI,SubScore_Short_Ratio,SubScore_ELS_KnockIn,SubScore_VKOSPI_Skew,SubScore_Synthetic_Futures,SubScore_NDF_Night_Rate,SubScore_Futures_Net_Sell,SubScore_Non_Arbitrage_Ratio,SubScore_Foreign_Broker_Dump,SubScore_Stock_Short_Balance,SubScore_Put_Buy_Simple,SubScore_Stock_Net_Sell,SubScore_KOSPI_5D_Return,"KOSPI 5일 수익률 (%, 실측 원값)","VKOSPI 지수값 (실측 원값, KRX OPEN API)","선물 베이시스 (KOSPI200 선물 종가 − 지수 종가, 실측 원값)",VKOSPI 기준 거래일,선물 베이시스 기준 거래일
2026-07-31,43.0,6595.45,1436.6,-82840,72410,11503,0.72,0.353,0.98,0.322,0.985,0.646,0.437,0.323,0.449,0.322,0.613,0.315,0.285,0.677,,,,,,,,,,,,,,,,,,,,,,
2026-08-03,27.7,6358.95,1431.8,46523,-28220,-19516,0.313,0.0,0.986,0.0,0.0,0.784,0.0,0.0,0.749,0.822,0.0,0.0,0.715,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-08-04,68.5,6598.26,1426.5,8187,-3716,-5385,0.711,0.579,0.986,0.341,0.986,0.776,0.439,0.654,0.749,0.822,0.621,0.431,0.715,0.361,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,53.1,6351.1,1418.5,-11844,14464,-2838,0.702,0.408,0.956,0.348,0.973,0.619,0.439,0.411,0.749,0.322,0.624,0.329,0.433,0.662,2026-08-06 03:03:07,,,,,,,,,,,,,,,,,,,,,
2026-08-06,62.9,6296.38,1424.5,33367,-32893,-1214,0.708,0.604,0.987,0.345,0.987,0.773,0.438,0.673,0.749,0.822,0.623,0.449,0.567,0.186,2026-08-06 19:18:27,1.0,0.0,63.06,77.13,63.03,64.65,63.73,70.22,63.32,79.0,63.33,72.13,63.69,74.36,53.8,30.45,,,,,
2026-08-07,59.7,6258.77,1411.0,2675,-8651,5854,0.694,0.551,0.974,0.348,0.986,0.753,0.434,0.587,0.449,0.822,0.624,0.437,0.52,0.628,2026-08-09 00:17:51,1.0,1.0,59.72,67.59,43.37,63.61,62.22,61.26,61.46,66.74,12.22,69.03,62.4,69.16,46.65,71.73,,,,,
2026-08-10,44.5,6299.66,1417.6,9003,-14909,5692,0.701,0.546,0.974,,0.5,0.5,,,,,0.623,,0.5,0.524,2026-08-10 20:28:45,1.0,1.0,60.11,65.27,44.22,,29.41,3.25,,,,,61.21,,43.57,60.04,0.675,75.59,4.02,2026-08-07,2026-08-07
2026-08-11,43.3,6345.53,1413.6,-708,535,212,0.698,0.416,,,0.5,0.5,,,,,,,0.5,0.547,2026-08-11 22:09:41,1.0,1.0,58.78,47.57,,,31.42,12.3,,,,,,,43.99,61.68,-0.211,69.55,1.16,2026-08-10,2026-08-10
2026-08-12,44.4,6579.04,1417.2,-31911,28356,5277,0.701,0.404,,,0.5,0.5,,,,,,,0.5,0.549,2026-08-12 17:55:07,1.0,0.0,58.88,46.05,,,32.91,17.75,,,,,,,44.34,61.12,-0.291,61.68,2.4,2026-08-11,2026-08-11
2026-08-13,39.5,6813.34,1422.3,-27410,21102,6834,0.707,0.404,,,0.5,0.5,,,,,,,0.5,0.323,2026-08-13 18:22:31,1.0,0.0,59.51,46.32,,,34.09,21.33,,,,,,,44.63,34.43,8.21,56.48,5.87,2026-08-12,2026-08-12
2026-08-14,39.1,6977.94,1418.5,-19820,30387,-10298,0.703,0.446,,,0.5,0.5,,,,,,,0.5,0.239,2026-08-17 05:33:02,1.0,0.0,58.13,53.05,,,35.04,23.91,,,,,,,44.88,26.58,11.491,55.28,2.46,2026-08-13,2026-08-13
